date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:06:41	121580/121580	---M--	200	added ('OK')	application/javascript	etag:%225e22183-1daec-5acc07351eb00%22	https://modernsteel.in/wp-content/plugins/essential-grid/public/assets/js/jquery.themepunch.essential.min.js?ver=2.0.8	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/plugins/essential-grid/public/assets/js/jquery.themepunch.essential.mina7f4.js	(from https://modernsteel.in/contact/)
00:06:41	5599/5599	---M--	200	added ('OK')	application/javascript	etag:%225e22c93-15df-5990350f8fd80%22	https://modernsteel.in/wp-content/plugins/keydesign-addon/assets/js/jquery.easing.min.js?ver=4.7.19	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/plugins/keydesign-addon/assets/js/jquery.easing.min6434.js	(from https://modernsteel.in/contact/)
00:06:42	42766/42766	---M--	200	added ('OK')	application/javascript	etag:%225e22c9a-a70e-5990350f8fd80%22	https://modernsteel.in/wp-content/plugins/keydesign-addon/assets/js/owl.carousel.min.js?ver=4.7.19	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/plugins/keydesign-addon/assets/js/owl.carousel.min6434.js	(from https://modernsteel.in/contact/)
00:06:42	3155/3155	---M--	200	added ('OK')	application/javascript	etag:%225e22c91-c53-5990350f8fd80%22	https://modernsteel.in/wp-content/plugins/keydesign-addon/assets/js/jquery.appear.js?ver=4.7.19	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/plugins/keydesign-addon/assets/js/jquery.appear6434.js	(from https://modernsteel.in/contact/)
00:06:42	31726/31726	---M--	200	added ('OK')	application/javascript	etag:%225e22c9c-7bee-5990350f8fd80%22	https://modernsteel.in/wp-content/plugins/keydesign-addon/assets/js/photoswipe.min.js?ver=4.7.19	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/plugins/keydesign-addon/assets/js/photoswipe.min6434.js	(from https://modernsteel.in/contact/)
00:06:42	9876/9876	---M--	200	added ('OK')	application/javascript	etag:%225e22c9b-2694-5990350f8fd80%22	https://modernsteel.in/wp-content/plugins/keydesign-addon/assets/js/photoswipe-ui-default.min.js?ver=4.7.19	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/plugins/keydesign-addon/assets/js/photoswipe-ui-default.min6434.js	(from https://modernsteel.in/contact/)
00:06:42	8537/8537	---M--	200	added ('OK')	application/javascript	etag:%225e22c97-2159-5990350f8fd80%22	https://modernsteel.in/wp-content/plugins/keydesign-addon/assets/js/kd_addon_script.js?ver=4.7.19	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/plugins/keydesign-addon/assets/js/kd_addon_script6434.js	(from https://modernsteel.in/contact/)
00:06:43	12778/12778	---M--	200	added ('OK')	application/javascript	etag:%225e22c95-31ea-5990350f8fd80%22	https://modernsteel.in/wp-content/plugins/keydesign-addon/assets/js/jquery.easytabs.min.js?ver=4.7.19	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/plugins/keydesign-addon/assets/js/jquery.easytabs.min6434.js	(from https://modernsteel.in/contact/)
00:06:43	11314/11314	---M--	200	added ('OK')	image/png	etag:%225e2461c-2c32-5b2cf23df9266%22	https://modernsteel.in/wp-content/uploads/2020/10/logo.png	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/uploads/2020/10/logo.png	(from https://modernsteel.in/contact/)
00:06:43	276327/276327	---M--	200	added ('OK')	application/javascript	etag:%225e23cba-43767-5990351360680%22	https://modernsteel.in/wp-content/plugins/revslider/public/assets/js/rs6.min.js?ver=6.1.5	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/plugins/revslider/public/assets/js/rs6.minb5e1.js	(from https://modernsteel.in/contact/)
00:06:44	74028/74028	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Feb%202021%2008:06:44%20GMT	https://modernsteel.in/contact/%22	C:/My%20Web%20Sites/contact/modernsteel.in/contact/_	(from https://modernsteel.in/contact/)
00:06:44	14440/14440	---M--	200	added ('OK')	application/javascript	etag:%225e21f69-3868-599034fc7d080%22	https://modernsteel.in/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=5.1.6	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/plugins/contact-form-7/includes/js/scriptsb62d.js	(from https://modernsteel.in/contact/)
00:06:45	884/884	---MC-	200	added ('OK')	text/javascript	date:Sat,%2020%20Feb%202021%2008:06:45%20GMT	https://www.google.com/recaptcha/api.js?render=6Lf9BuIZAAAAANDPhWjDzY0Lj5_2W0qpjWnV_hlF&ver=3.0	C:/My%20Web%20Sites/contact/www.google.com/recaptcha/api621b.js	(from https://modernsteel.in/contact/)
00:06:45	35951/35951	---M--	200	added ('OK')	application/javascript	etag:%225e23d00-8c6f-593556b954080%22	https://modernsteel.in/wp-content/themes/modernsteel/core/assets/js/bootstrap.min.js?ver=4.7.19	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/themes/modernsteel/core/assets/js/bootstrap.min6434.js	(from https://modernsteel.in/contact/)
00:06:45	23314/23314	---M--	200	added ('OK')	application/javascript	etag:%225e23d04-5b12-593556b954080%22	https://modernsteel.in/wp-content/themes/modernsteel/core/assets/js/SmoothScroll.js?ver=4.7.19	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/themes/modernsteel/core/assets/js/SmoothScroll6434.js	(from https://modernsteel.in/contact/)
00:06:45	23734/23734	---M--	200	added ('OK')	application/javascript	etag:%225e23d03-5cb6-593e449b55380%22	https://modernsteel.in/wp-content/themes/modernsteel/core/assets/js/scripts.js?ver=4.7.19	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/themes/modernsteel/core/assets/js/scripts6434.js	(from https://modernsteel.in/contact/)
00:06:46	24734/24734	---M--	200	added ('OK')	application/javascript	etag:%225e41886-609e-5b082411367e1%22	https://modernsteel.in/wp-content/plugins/page-links-to/dist/new-tab.js?ver=3.3.4	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/plugins/page-links-to/dist/new-tab7984.js	(from https://modernsteel.in/contact/)
00:06:46	1398/1398	---M--	200	added ('OK')	application/javascript	etag:%225e2409b-576-57b3f517f3300%22	https://modernsteel.in/wp-includes/js/wp-embed.min.js?ver=4.7.19	C:/My%20Web%20Sites/contact/modernsteel.in/wp-includes/js/wp-embed.min6434.js	(from https://modernsteel.in/contact/)
00:06:46	20601/20601	---M--	200	added ('OK')	application/javascript	etag:%225e22222-5079-5990351360680%22	https://modernsteel.in/wp-content/plugins/js_composer/assets/js/dist/js_composer_front.min.js?ver=6.0.5	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/plugins/js_composer/assets/js/dist/js_composer_front.min52c7.js	(from https://modernsteel.in/contact/)
00:06:47	847/847	---M--	200	added ('OK')	image/gif	etag:%225e21f43-34f-599034fc7d080%22	https://modernsteel.in/wp-content/plugins/contact-form-7/images/ajax-loader.gif	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/plugins/contact-form-7/images/ajax-loader.gif	(from https://modernsteel.in/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.6)
00:06:47	885/885	---M--	200	added ('OK')	image/gif	etag:%225e22173-375-5acc07351eb00%22	https://modernsteel.in/wp-content/plugins/essential-grid/public/assets/images/ajax-loader.gif	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/plugins/essential-grid/public/assets/images/ajax-loader.gif	(from https://modernsteel.in/wp-content/plugins/essential-grid/public/assets/css/settings.css?ver=2.0.8)
00:06:47	2545/2545	---M--	200	added ('OK')	image/gif	etag:%225e2217c-9f1-5acc07351eb00%22	https://modernsteel.in/wp-content/plugins/essential-grid/public/assets/images/loader.gif	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/plugins/essential-grid/public/assets/images/loader.gif	(from https://modernsteel.in/wp-content/plugins/essential-grid/public/assets/css/settings.css?ver=2.0.8)
00:06:48	74066/74066	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Feb%202021%2008:06:48%20GMT	https://modernsteel.in/wp-content/themes/modernsteel/images/grabbing.png	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/themes/modernsteel/images/grabbing.png	(from https://modernsteel.in/wp-content/themes/modernsteel/style.css?ver=4.7.19)
00:06:50	74068/74068	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Feb%202021%2008:06:49%20GMT	https://modernsteel.in/wp-content/themes/modernsteel/images/arrow-down.png	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/themes/modernsteel/images/arrow-down.png	(from https://modernsteel.in/wp-content/themes/modernsteel/style.css?ver=4.7.19)
00:06:52	74069/74069	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2020%20Feb%202021%2008:06:51%20GMT	https://modernsteel.in/wp-content/themes/modernsteel/images/hover-arrow.png	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/themes/modernsteel/images/hover-arrow.png	(from https://modernsteel.in/wp-content/themes/modernsteel/style.css?ver=4.7.19)
00:06:52	1094/1094	---M--	200	added ('OK')	image/png	etag:%225e23cf9-446-593556b954080%22	https://modernsteel.in/wp-content/themes/modernsteel/core/assets/images/icons/select-arrow.png	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/themes/modernsteel/core/assets/images/icons/select-arrow.png	(from https://modernsteel.in/wp-content/themes/modernsteel/style.css?ver=4.7.19)
00:06:52	1510/1510	---M--	200	added ('OK')	image/svg+xml	etag:%225e23cf5-5e6-593556b954080%22	https://modernsteel.in/wp-content/themes/modernsteel/core/assets/images/contact-loader.svg	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/themes/modernsteel/core/assets/images/contact-loader.svg	(from https://modernsteel.in/wp-content/themes/modernsteel/style.css?ver=4.7.19)
00:06:52	318/318	---M--	200	added ('OK')	image/png	etag:%225e22c8b-13e-5990350f8fd80%22	https://modernsteel.in/wp-content/plugins/keydesign-addon/assets/img/share.png	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/plugins/keydesign-addon/assets/img/share.png	(from https://modernsteel.in/wp-content/plugins/keydesign-addon/assets/css/kd_vc_front.css?ver=4.7.19)
00:06:53	6840/6840	---M--	200	added ('OK')	image/png	etag:%225e22c81-1ab8-5990350f8fd80%22	https://modernsteel.in/wp-content/plugins/keydesign-addon/assets/img/long-shadow.png	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/plugins/keydesign-addon/assets/img/long-shadow.png	(from https://modernsteel.in/wp-content/plugins/keydesign-addon/assets/css/kd_vc_front.css?ver=4.7.19)
00:06:53	151508/151508	---M--	200	added ('OK')	image/jpeg	etag:%225e22c8a-24fd4-5990350f8fd80%22	https://modernsteel.in/wp-content/plugins/keydesign-addon/assets/img/section-bg.jpg	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/plugins/keydesign-addon/assets/img/section-bg.jpg	(from https://modernsteel.in/wp-content/plugins/keydesign-addon/assets/css/kd_vc_front.css?ver=4.7.19)
00:06:53	547/547	---M--	200	added ('OK')	image/png	etag:%225e22c84-223-5990350f8fd80%22	https://modernsteel.in/wp-content/plugins/keydesign-addon/assets/img/photoswipe/default-skin.png	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/plugins/keydesign-addon/assets/img/photoswipe/default-skin.png	(from https://modernsteel.in/wp-content/plugins/keydesign-addon/assets/css/photoswipe-default-skin.css?ver=4.7.19)
00:06:54	866/866	---M--	200	added ('OK')	image/gif	etag:%225e22c86-362-5990350f8fd80%22	https://modernsteel.in/wp-content/plugins/keydesign-addon/assets/img/photoswipe/preloader.gif	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/plugins/keydesign-addon/assets/img/photoswipe/preloader.gif	(from https://modernsteel.in/wp-content/plugins/keydesign-addon/assets/css/photoswipe-default-skin.css?ver=4.7.19)
00:06:54	326/326	---M--	200	added ('OK')	text/html	etag:%225e23c8a-146-5990351360680%22	https://modernsteel.in/wp-content/plugins/revslider/public/assets/css/openhand.cur	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/plugins/revslider/public/assets/css/openhand.html	(from https://modernsteel.in/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.5)
00:06:54	326/326	---M--	200	added ('OK')	text/html	etag:%225e23c88-146-5990351360680%22	https://modernsteel.in/wp-content/plugins/revslider/public/assets/css/closedhand.cur	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/plugins/revslider/public/assets/css/closedhand.html	(from https://modernsteel.in/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.5)
00:06:55	70/70	---M--	200	added ('OK')	image/png	etag:%225e23754-46-5990351360680%22	https://modernsteel.in/wp-content/plugins/revslider/public/assets/assets/gridtile.png	C:/My%20Web%20Sites/contact/modernsteel.in/wp-content/plugins/revslider/public/assets/assets/gridtile.png	(from https://modernsteel.in/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.1.5)
